,Account,Compound,Created Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
0,@Impact,0.0,Thu Apr 19 03:18:20 +0000 2018,0.0,1.0,0.0,https://t.co/V8ZhZ0a8Lo,1
1,@Impact,0.2023,Wed Apr 18 23:45:19 +0000 2018,0.239,0.435,0.326,"Long time no see :)
https://t.co/V8ZhZ0a8Lo",2
2,@Impact,0.0,Tue Apr 17 02:16:33 +0000 2018,0.0,1.0,0.0,@TL_Dodo Im coming !!,3
3,@Impact,0.7639,Tue Apr 17 00:41:41 +0000 2018,0.051,0.694,0.255,In Vegas I made new friends ? and I had a lot of fun time !! Now I'll go  home and practice hard I’ll streaming sometime.,4
4,@Impact,0.3612,Tue Apr 17 00:12:02 +0000 2018,0.0,0.444,0.556,@konkwon I agree https://t.co/EANtKVlYTv,5
5,@Impact,0.0,Mon Apr 16 20:04:50 +0000 2018,0.0,1.0,0.0,@Jarge__ 5 star,6
6,@Impact,0.0,Mon Apr 16 07:43:34 +0000 2018,0.0,1.0,0.0,? https://t.co/glA5M2oB3X,7
7,@Impact,0.7351,Mon Apr 16 07:26:56 +0000 2018,0.0,0.693,0.307,@konkwon family invited me home and treated me to a delicious meal. Thank yo so much ? https://t.co/VfeDHW0Bad,8
8,@Impact,0.3182,Sat Apr 14 04:58:44 +0000 2018,0.0,0.685,0.315,@Pobelter The Curious Case of Jake,9
9,@Impact,0.0,Sat Apr 14 02:11:08 +0000 2018,0.0,1.0,0.0,"RT @LiQuiD112: @Xmithie And there we go, @MichaelArtress hook these boys up",10
10,@Impact,0.0,Fri Apr 13 17:45:32 +0000 2018,0.0,1.0,0.0,? https://t.co/u9PkzzVRPm,11
11,@Impact,-0.4696,Thu Apr 12 22:45:51 +0000 2018,0.433,0.567,0.0,@Timkiro ?? My shaco insane,12
12,@Impact,0.0,Thu Apr 12 19:59:03 +0000 2018,0.0,1.0,0.0,@BischuGG las vegas !!,13
13,@Impact,0.0,Thu Apr 12 19:58:03 +0000 2018,0.0,1.0,0.0,?????? https://t.co/yBzCGUIrak,14
14,@Impact,0.0,Thu Apr 12 19:43:32 +0000 2018,0.0,1.0,0.0,See you ? https://t.co/zB7HjPIWpT,15
15,@Impact,0.3597,Thu Apr 12 08:19:58 +0000 2018,0.093,0.744,0.163,"I will go on a trip tmrw to Vegas 
i really exciting because It is the first time to trip alone. ?",16
16,@Impact,0.0,Thu Apr 12 00:20:06 +0000 2018,0.0,1.0,0.0,https://t.co/V8ZhZ0a8Lo,17
17,@Impact,0.0,Thu Apr 12 00:19:25 +0000 2018,0.0,1.0,0.0,4year ago and now https://t.co/twIagPNt9z,18
18,@Impact,0.0,Wed Apr 11 21:33:00 +0000 2018,0.0,1.0,0.0,@Sneaky @estherlynnhhj Can i go eat ramen at your house? ?,19
19,@Impact,-0.296,Wed Apr 11 05:37:44 +0000 2018,0.355,0.645,0.0,"Long time no see
https://t.co/V8ZhZ0a8Lo",20
20,@Impact,0.0,Thu Apr 19 03:18:20 +0000 2018,0.0,1.0,0.0,https://t.co/V8ZhZ0a8Lo,21
21,@Impact,0.2023,Wed Apr 18 23:45:19 +0000 2018,0.239,0.435,0.326,"Long time no see :)
https://t.co/V8ZhZ0a8Lo",22
22,@Impact,0.0,Tue Apr 17 02:16:33 +0000 2018,0.0,1.0,0.0,@TL_Dodo Im coming !!,23
23,@Impact,0.7639,Tue Apr 17 00:41:41 +0000 2018,0.051,0.694,0.255,In Vegas I made new friends ? and I had a lot of fun time !! Now I'll go  home and practice hard I’ll streaming sometime.,24
24,@Impact,0.3612,Tue Apr 17 00:12:02 +0000 2018,0.0,0.444,0.556,@konkwon I agree https://t.co/EANtKVlYTv,25
25,@Impact,0.0,Mon Apr 16 20:04:50 +0000 2018,0.0,1.0,0.0,@Jarge__ 5 star,26
26,@Impact,0.0,Mon Apr 16 07:43:34 +0000 2018,0.0,1.0,0.0,? https://t.co/glA5M2oB3X,27
27,@Impact,0.7351,Mon Apr 16 07:26:56 +0000 2018,0.0,0.693,0.307,@konkwon family invited me home and treated me to a delicious meal. Thank yo so much ? https://t.co/VfeDHW0Bad,28
28,@Impact,0.3182,Sat Apr 14 04:58:44 +0000 2018,0.0,0.685,0.315,@Pobelter The Curious Case of Jake,29
29,@Impact,0.0,Sat Apr 14 02:11:08 +0000 2018,0.0,1.0,0.0,"RT @LiQuiD112: @Xmithie And there we go, @MichaelArtress hook these boys up",30
30,@Impact,0.0,Fri Apr 13 17:45:32 +0000 2018,0.0,1.0,0.0,? https://t.co/u9PkzzVRPm,31
31,@Impact,-0.4696,Thu Apr 12 22:45:51 +0000 2018,0.433,0.567,0.0,@Timkiro ?? My shaco insane,32
32,@Impact,0.0,Thu Apr 12 19:59:03 +0000 2018,0.0,1.0,0.0,@BischuGG las vegas !!,33
33,@Impact,0.0,Thu Apr 12 19:58:03 +0000 2018,0.0,1.0,0.0,?????? https://t.co/yBzCGUIrak,34
